title,author,year,cover_id,isbn13,pages,format
The Bell Jar,Sylvia Plath,1963,8232011,9780060837020,244,paperback
Mrs Dalloway,Virginia Woolf,1925,8232012,9780156628709,194,paperback
To the Lighthouse,Virginia Woolf,1927,8232013,9780156907392,209,paperback
Pride and Prejudice,Jane Austen,1813,8232014,9780141439518,432,paperback
Emma,Jane Austen,1815,8232015,9780141439587,474,paperback
Jane Eyre,Charlotte Bronte,1847,8232016,9780141441146,532,paperback
Wuthering Heights,Emily Bronte,1847,8232017,9780141439556,416,paperback
Middlemarch,George Eliot,1871,8232018,9780141439549,880,paperback
Great Expectations,Charles Dickens,1861,8232019,9780141439563,544,paperback
Bleak House,Charles Dickens,1853,8232020,9780141439723,1017,paperback
Crime and Punishment,Fyodor Dostoevsky,1866,8232021,9780143107637,671,paperback
The Brothers Karamazov,Fyodor Dostoevsky,1880,8232022,9780374528379,796,paperback
Anna Karenina,Leo Tolstoy,1878,8232023,9780143035008,864,paperback
War and Peace,Leo Tolstoy,1869,8232024,9781400079988,1296,paperback
Lolita,Vladimir Nabokov,1955,8232025,9780679723165,317,paperback
Pale Fire,Vladimir Nabokov,1962,8232026,9780679723424,246,paperback
Invisible Man,Ralph Ellison,1952,8232027,9780679732761,581,paperback
Things Fall Apart,Chinua Achebe,1958,8232028,9780385474542,209,paperback
Half of a Yellow Sun,Chimamanda Ngozi Adichie,2006,8232029,9781400095209,543,paperback
Americanah,Chimamanda Ngozi Adichie,2013,8232030,9780307455925,588,paperback
The God of Small Things,Arundhati Roy,1997,8232031,9780812979657,321,paperback
Midnight's Children,Salman Rushdie,1981,8232032,9780812976533,647,paperback
A Suitable Boy,Vikram Seth,1993,8232033,9780060786526,1349,paperback
The White Tiger,Aravind Adiga,2008,8232034,9781416562603,276,paperback
Train to Pakistan,Khushwant Singh,1956,8232035,9780802132215,181,paperback
The Namesake,Jhumpa Lahiri,2003,8232036,9780618485222,291,paperback
Interpreter of Maladies,Jhumpa Lahiri,1999,8232037,9780618101368,198,paperback
Sapiens,Yuval Noah Harari,2011,8232038,9780062316097,443,paperback
Thinking Fast and Slow,Daniel Kahneman,2011,8232039,9780374533557,499,paperback
Atomic Habits,James Clear,2018,9257949,9780735211292,320,hardcover
Educated,Tara Westover,2018,8815405,9780399590504,334,hardcover
Between the World and Me,Ta-Nehisi Coates,2015,8232040,9780812993547,152,hardcover
The Immortal Life of Henrietta Lacks,Rebecca Skloot,2010,8232041,9781400052189,381,paperback
Bad Blood,John Carreyrou,2018,9257950,9781524731656,339,hardcover
The Sixth Extinction,Elizabeth Kolbert,2014,8232042,9781250062185,319,paperback
Being Mortal,Atul Gawande,2014,8232043,9781250076229,282,paperback
The Emperor of All Maladies,Siddhartha Mukherjee,2010,8232044,9781439170915,571,paperback
The Gene,Siddhartha Mukherjee,2016,8232045,9781476733524,592,paperback
A Brief History of Time,Stephen Hawking,1988,8232046,9780553380163,212,paperback
Cosmos,Carl Sagan,1980,8232047,9780345539434,396,paperback
The Selfish Gene,Richard Dawkins,1976,8232048,9780198788607,360,paperback
Guns Germs and Steel,Jared Diamond,1997,8232049,9780393317558,480,paperback
The Structure of Scientific Revolutions,Thomas S. Kuhn,1962,8232050,9780226458120,264,paperback
Meditations,Marcus Aurelius,180,8232051,9780140449334,254,paperback
The Republic,Plato,-380,8232052,9780140455113,416,paperback
Man's Search for Meaning,Viktor E. Frankl,1946,8232053,9780807014295,184,paperback
The Myth of Sisyphus,Albert Camus,1942,8232054,9780679733737,212,paperback
The Stranger,Albert Camus,1942,8232055,9780679720201,123,paperback
The Trial,Franz Kafka,1925,8232056,9780805209990,255,paperback
The Metamorphosis,Franz Kafka,1915,8232057,9780553213690,201,paperback
One Flew Over the Cuckoo's Nest,Ken Kesey,1962,8232058,9780451163967,325,paperback
The Catcher in the Rye,J. D. Salinger,1951,8232059,9780316769488,277,paperback
To Kill a Mockingbird,Harper Lee,1960,8232060,9780061120084,336,paperback
The Great Gatsby,F. Scott Fitzgerald,1925,8232061,9780743273565,180,paperback
The Hobbit,J. R. R. Tolkien,1937,8232062,9780547928227,366,paperback
The Fellowship of the Ring,J. R. R. Tolkien,1954,8232063,9780547928210,423,paperback
The Name of the Wind,Patrick Rothfuss,2007,8232064,9780756404741,662,paperback
